graph_id,src,dst,weight
0,0,35,0.8090594235342111
0,2,37,0.8042252202247525
0,5,40,0.8002129675321548
0,5,56,0.8007950171294095
0,10,25,0.812316652652105
0,10,45,0.8051232057337752
0,11,21,0.8559776066153857
0,12,47,0.8001304815896242
0,13,48,0.8064695629369831
0,21,11,0.8559776066153857
0,21,56,0.8134013442507388
0,25,10,0.812316652652105
0,25,60,0.9071527095489543
0,35,0,0.8090594235342111
0,37,2,0.8042252202247525
0,40,5,0.8002129675321548
0,45,10,0.8051232057337752
0,47,12,0.8001304815896242
0,48,13,0.8064695629369831
0,48,56,0.8162163196679673
0,56,5,0.8007950171294095
0,56,21,0.8134013442507388
0,56,48,0.8162163196679673
0,60,25,0.9071527095489543
1,0,35,0.8464018107820389
1,2,37,0.8602180625816902
1,5,21,0.8570280615268543
1,5,40,0.818076198657822
1,7,42,0.8719428431572482
1,10,45,0.8112059408574197
1,13,48,0.823445153226864
1,16,51,0.8028864126053118
1,17,52,0.8430303627283923
1,21,5,0.8570280615268543
1,21,40,0.8271157659612325
1,21,48,0.8611581101617548
1,21,56,0.9158023378176727
1,22,24,0.8348698486155259
1,24,22,0.8348698486155259
1,24,59,0.8370961150136311
1,25,60,0.85646161743499
1,30,65,0.8695187512695605
1,35,0,0.8464018107820389
1,35,65,0.8162925190769944
1,37,2,0.8602180625816902
1,40,5,0.818076198657822
1,40,21,0.8271157659612325
1,40,48,0.8127822818566521
1,40,56,0.8148893466490136
1,42,7,0.8719428431572482
1,43,50,0.8209051684110508
1,45,10,0.8112059408574197
1,48,13,0.823445153226864
1,48,21,0.8611581101617548
1,48,40,0.8127822818566521
1,48,56,0.8543776664153185
1,50,43,0.8209051684110508
1,51,16,0.8028864126053118
1,52,17,0.8430303627283923
1,56,21,0.9158023378176727
1,56,40,0.8148893466490136
1,56,48,0.8543776664153185
1,57,59,0.8719461807365926
1,59,24,0.8370961150136311
1,59,57,0.8719461807365926
1,60,25,0.85646161743499
1,65,30,0.8695187512695605
1,65,35,0.8162925190769944
2,0,35,0.8842022082534229
2,5,7,0.8110909607136703
2,5,40,0.8529207550563064
2,5,48,0.8370127886079082
2,7,5,0.8110909607136703
2,7,13,0.8586164531447925
2,7,42,0.8508035473494601
2,7,48,0.8577534284283698
2,10,25,0.8311025938590366
2,10,45,0.8028654470181009
2,10,60,0.8388394612036985
2,11,46,0.8097994459378226
2,13,7,0.8586164531447925
2,13,21,0.8538607047572864
2,13,48,0.8903211453711223
2,21,13,0.8538607047572864
2,21,48,0.8223929621946551
2,22,24,0.8521537581547894
2,22,29,0.8264323677115848
2,22,57,0.8370657234118004
2,24,22,0.8521537581547894
2,25,10,0.8311025938590366
2,25,60,0.9084080346666127
2,29,22,0.8264323677115848
2,29,42,0.8048173919574204
2,30,65,0.8785803730619254
2,34,69,0.8212658606418332
2,35,0,0.8842022082534229
2,40,5,0.8529207550563064
2,42,7,0.8508035473494601
2,42,29,0.8048173919574204
2,42,48,0.8421374277657009
2,43,62,0.8101669934241247
2,45,10,0.8028654470181009
2,46,11,0.8097994459378226
2,48,5,0.8370127886079082
2,48,7,0.8577534284283698
2,48,13,0.8903211453711223
2,48,21,0.8223929621946551
2,48,42,0.8421374277657009
2,57,22,0.8370657234118004
2,57,59,0.887845124431839
2,59,57,0.887845124431839
2,60,10,0.8388394612036985
2,60,25,0.9084080346666127
2,62,43,0.8101669934241247
2,65,30,0.8785803730619254
2,69,34,0.8212658606418332
3,0,35,0.8527555795720339
3,5,40,0.8138970055919115
3,7,42,0.8136856286238234
3,10,45,0.802553251458181
3,11,46,0.809066426673079
3,12,47,0.8247701805960466
3,14,49,0.8994455793702779
3,17,52,0.8061210161997321
3,18,20,0.8643376368808776
3,20,18,0.8643376368808776
3,21,56,0.8494986557989527
3,22,24,0.8029198815337198
3,22,57,0.8511798600858931
3,24,22,0.8029198815337198
3,24,59,0.8783532059241399
3,26,61,0.8306899283970846
3,30,65,0.8191850953282797
3,35,0,0.8527555795720339
3,40,5,0.8138970055919115
3,42,7,0.8136856286238234
3,45,10,0.802553251458181
3,46,11,0.809066426673079
3,46,48,0.8103185448365854
